c1_index,c2_index,c3_index,c4_index,c5_index,c6_index,c7_index,c8_index,avg_time
1135,873,1067,1203,995,815,1117,1011,1684.8040851394326
2191,1691,2060,2318,1924,1579,2162,1955,3225.592708524302
3276,2536,3080,3464,2884,2363,3238,2929,4787.307394047777
4495,3483,4227,4747,3966,3244,4446,4021,6521.750362355713
5155,3997,4850,5438,4552,3721,5101,4611,7453.664665211414
6207,4816,5840,6543,5484,4482,6141,5553,8937.718540268237
7242,5621,6814,7635,6400,5230,7165,6478,10400.160850047963
8347,6477,7853,8799,7376,6027,8257,7463,11963.523960790131
9458,7339,8902,9971,8360,6826,9354,8456,13540.77872589184
10620,8242,9998,11199,9387,7662,10501,9494,15191.368741352606
11685,9067,11001,12322,10325,8428,11553,10444,16709.881722826496
12960,10057,12204,13669,11450,9347,12817,11581,18537.100230021504
14376,11155,13540,15168,12701,10368,14220,12844,20567.360080376515
15330,11898,14444,16178,13546,11056,15168,13697,21933.67450660048
16812,13047,15841,17739,14851,12124,16631,15021,24044.972564659678
17983,13957,16946,18978,15888,12971,17789,16067,25714.18129245359
18956,14714,17869,20006,16749,13674,18752,16939,27099.09750084803
20065,15576,18918,21175,17732,14473,19848,17929,28667.903873853124
21142,16410,19933,22308,18683,15249,20912,18891,30183.0321267002
22242,17266,20975,23467,19658,16044,21999,19876,31733.11982811622
23375,18149,22046,24662,20663,16863,23120,20889,33333.315418689686
24514,19037,23128,25868,21673,17687,24248,21912,34948.50180312357
25606,19890,24161,27025,22641,18476,25329,22888,36493.733121334444
26484,20577,24995,27953,23419,19111,26197,23675,37729.14806633201
27536,21398,25991,29061,24353,19870,27237,24615,39197.494098012976
28921,22481,27300,30520,25581,20872,28602,25856,41127.34424591958
30288,23548,28594,31965,26794,21860,29948,27078,43037.21478020493
31529,24518,29770,33276,27896,22756,31175,28190,44771.0063461191
33032,25695,31193,34858,29231,23845,32662,29541,46845.87124570274
33906,26382,32022,35775,30008,24477,33530,30329,48035.98038866455
34913,27173,32977,36834,30909,25206,34528,31236,49398.5378435467
35854,27909,33870,37826,31745,25885,35459,32078,50667.82123234993
37248,28993,35190,39294,32979,26893,36837,33322,52530.86278110575
38465,29943,36344,40575,34058,27774,38047,34414,54160.03376454166
39697,30904,37511,41871,35152,28669,39270,35520,55806.52732348845
40478,31518,38252,42692,35848,29238,40043,36223,56849.20040333389
41665,32454,39380,43935,36907,30104,41222,37294,58437.55079878085
42429,33056,40109,44728,37592,30663,41980,37987,59464.08971375092
43693,34054,41314,46026,38723,31584,43235,39129,61173.0587146981
44749,34887,42320,47107,39665,32356,44284,40081,62612.68091949378
46297,36101,43788,48689,41043,33481,45820,41473,64739.23653278164
47455,37008,44882,49885,42070,34321,46965,42515,66340.4840618289
48867,38107,46219,51347,43317,35342,48356,43779,68303.71371919836
50080,39050,47367,52614,44385,36218,49548,44865,70005.21640239924
51202,39926,48435,53792,45377,37032,50648,45873,71594.64716523574
52349,40819,49528,55000,46394,37864,51772,46904,73220.57080550368
53855,41990,50961,56583,47730,38957,53248,48259,75348.99506289551
54846,42757,51900,57617,48604,39672,54217,49145,76741.56256902755
55676,43401,52687,58486,49338,40270,55027,49890,77909.59852988327
57039,44461,53982,59916,50547,41258,56349,51118,79834.54319758239
58077,45271,54975,61011,51473,42013,57354,52056,81298.52055930816
